time,Country,State,Population,MFRatio,0-14,15-65,65+
2020,Kenya,,52113289,0.998550634,19308582,31161673,1643034
2020,Kiribati,,109568,0.941662236,29599,74843,5126
2020,"Korea, North",,25279179,0.943546221,4884409,17919655,2475115
2020,"Korea, South",,51412107,1.00411382,6198401,36961969,8251737
2020,Kosovo,,1903551,1.062615806,435908,1317760,149883
2020,Kuwait,,2939923,1.391402277,673507,2179050,87366
2020,Kyrgyzstan,,5843655,0.958448217,1691350,3806336,345969
2020,Laos,,7286377,0.98395195,2166005,4812661,307711
2020,Latvia,,1863780,0.858464791,270696,1207462,385622
2020,Lebanon,,5398325,0.997780665,1063903,3898942,435480
2020,Lesotho,,1925503,0.978875244,572481,1242717,110305
2020,Liberia,,4894199,0.997793699,2020253,2730252,143694
2020,Libya,,6732862,1.048367783,2161166,4292993,278703
2020,Liechtenstein,,38734,0.988602526,5544,25801,7389
2020,Lithuania,,2705237,0.855896913,390523,1756131,558583
2020,Luxembourg,,621119,1.014076378,97841,426699,96579
2020,Macau,,609522,0.900497947,77564,454782,77176
2020,Madagascar,,26176839,0.99899725,9695976,15545790,935073
2020,Malawi,,20384606,0.979249568,8910067,10906382,568157
2020,Malaysia,,32061655,1.024221534,8160815,21649350,2251490
2020,Maldives,,385731,1.128464616,80564,286318,18849
2020,Mali,,18776103,0.94485583,8548512,9636630,590961
2020,Malta,,452720,1.013887962,61210,294091,97419
2020,Marshall Islands,,76173,1.031388341,23921,48590,3662
2020,Mauritania,,3893887,0.926324127,1392871,2343902,157114
2020,Mauritius,,1362092,0.96344095,250850,958374,152868
2020,Mexico,,126409738,0.959289534,31221139,85323211,9865388
2020,"Micronesia, Federated States of",,100528,0.965664229,27680,68118,4730
2020,Moldova,,3328328,0.955446304,579748,2276573,472007
2020,Monaco,,30748,0.940549069,2720,17154,10874
2020,Mongolia,,3115312,0.951774998,801406,2162458,151448
2020,Montenegro,,602803,0.970240624,103563,401544,97696
2020,Montserrat,,5311,0.995116454,799,4160,352
2020,Morocco,,34933548,0.995100991,8986853,23418807,2527888
2020,Mozambique,,28999178,0.967091926,12618154,15500456,880568
2020,Namibia,,2564271,0.958601047,872588,1589139,102544
2020,Nauru,,9574,0.877254902,2810,6423,341
2020,Nepal,,29786310,0.95924077,8058861,20000388,1727061
2020,Netherlands,,17092099,0.977324413,2596143,11071335,3424621
2020,New Caledonia,,285830,0.993819668,58867,198419,28544
2020,New Zealand,,4862700,1.002169047,903878,3193563,765259
2020,Nicaragua,,6099063,0.949636353,1485337,4252621,361105
2020,Niger,,21759527,0.980520304,10506083,10642148,611296
2020,Nigeria,,207028850,1.018688678,82247055,117718911,7062884
2020,North Macedonia,,2103400,0.993766754,320974,1481143,301283
2020,Northern Mariana Islands,,50670,1.130602977,12108,34841,3721
2020,Norway,,5400931,1.020108207,915406,3532699,952826
2020,Oman,,3551786,1.177777969,1012837,2405134,133815
2020,Pakistan,,227362823,1.038452459,77935806,139054257,10372760
2020,Palau,,21444,1.066891566,3810,15585,2049
2020,Panama,,3828106,1.010445836,929360,2548059,350687
2020,Papua New Guinea,,7100415,1.036532979,2162856,4600909,336650
2020,Paraguay,,7074833,1.003815411,1566921,4941458,566454
2020,Peru,,31378827,0.95988904,7580369,21229475,2568983
2020,Philippines,,106729754,1.006550548,32941696,68478052,5310006
2020,Poland,,37938155,0.936409635,5331316,25440183,7166656
2020,Portugal,,10219453,0.899517753,1315463,6748893,2155097
2020,Puerto Rico,,3163744,0.89459022,428143,2041301,694300
2020,Qatar,,2421420,3.438631577,291159,2101126,29135
2020,Romania,,21122184,0.945723788,2828187,14548970,3745027
2020,Russia,,140292402,0.858820908,23003105,95284237,22005060
2020,Rwanda,,12365481,0.957329347,4731936,7297187,336358
2020,Saint Barthelemy,,7056,1.124021674,1014,4664,1378
2020,"Saint Helena, Ascension, and Tristan da Cunha",,7789,1.010064516,1118,5357,1314
2020,Saint Kitts and Nevis,,53141,1.001770445,10013,37744,5384
2020,Saint Lucia,,164413,0.944220422,29956,112643,21814
2020,Saint Martin,,32077,0.921814151,7866,21226,2985
2020,Saint Pierre and Miquelon,,5310,0.94008038,728,3386,1196
2020,Saint Vincent and the Grenadines,,100115,1.036016432,19155,70091,10869
2020,Samoa,,199839,1.034958199,55790,131454,12595
2020,San Marino,,33931,0.935044197,4740,22263,6928
2020,Sao Tome and Principe,,205080,0.996145535,77925,121104,6051
2020,Saudi Arabia,,33676396,1.306754459,7989970,24444454,1241972
2020,Senegal,,15255131,0.935003836,5873328,8893514,488289
2020,Serbia,,6950610,0.949868921,924934,4623286,1402390
2020,Seychelles,,94759,1.070194219,16873,69950,7936
2020,Sierra Leone,,6403272,0.945296444,2519818,3638360,245094
2020,Singapore,,6154367,0.954053276,739355,4738630,676382
2020,Sint Maarten,,43288,0.974277114,7615,30608,5065
2020,Slovakia,,5390042,0.941784389,772748,3689907,927387
2020,Slovenia,,2084115,0.996089451,293531,1344268,446316
2020,Solomon Islands,,669225,1.043210517,210129,428218,30878
2020,Somalia,,11334861,1.014795553,4559868,6507564,267429
2020,South Africa,,55400054,0.976178864,14714445,37249448,3436161
2020,South Sudan,,10175825,1.06153993,4005800,5902593,267432
2020,Spain,,49576479,0.974969763,7072294,33256784,9247401
2020,Sri Lanka,,22563899,0.952376222,4963527,15166323,2434049
2020,Sudan,,44089713,1.009418716,17670082,25040696,1378935
2020,Suriname,,600592,1.013072071,133564,427123,39905
2020,Sweden,,10079405,0.998597925,1683355,6295498,2100552
2020,Switzerland,,8316630,0.973854813,1202143,5540289,1574198
2020,Syria,,18940464,0.993618052,6035532,12040702,864230
2020,Taiwan,,23414487,0.972301175,2742636,16960799,3711052
2020,Tajikistan,,8684373,0.988118276,2599420,5762966,321987
2020,Tanzania,,56607222,0.995608881,23056264,31746119,1804839
2020,Thailand,,68241607,0.959423011,10610782,49476433,8154392
2020,Timor-Leste,,1340901,0.996984197,510093,774631,56177
2020,Togo,,8343005,0.982780502,3154458,4881169,307378
2020,Tonga,,103893,1.006198586,31746,64904,7243
2020,Trinidad and Tobago,,1195078,1.027707364,216047,832688,146343
2020,Tunisia,,11533250,0.985399975,2775264,7719926,1038060
2020,Turkey,,80814589,1.009313401,17999395,55962762,6852432
2020,Turkmenistan,,5429912,0.980002742,1307768,3824816,297328
2020,Turks and Caicos Islands,,55138,1.013438014,11141,41108,2889
2020,Tuvalu,,11084,0.978932334,3079,7247,758
2020,Uganda,,41495113,0.941221453,19095936,21367965,1031212
2020,Ukraine,,43498068,0.862011779,6672143,29344786,7481139
2020,United Arab Emirates,,9896880,2.587355912,1348619,8358902,189359
2020,United Kingdom,,64982311,0.991605366,10816409,42014475,12151427
2020,United States,,328525938,0.970481908,57295762,215178610,56051566
2020,Uruguay,,3344218,0.936521669,617512,2228352,498354
2020,Uzbekistan,,30078768,0.988555553,6601800,21682359,1794609
2020,Vanuatu,,291713,0.990848103,93758,184873,13082
2020,Venezuela,,28142124,0.988985499,6848698,18951518,2341908
2020,Vietnam,,97303589,1.005647038,20906096,69572561,6824932
2020,"Virgin Islands, British",,36966,0.906938354,5787,27406,3773
2020,"Virgin Islands, U.S.",,104952,0.908044723,19859,64705,20388
2020,Wallis and Futuna,,15651,1.035770031,3060,10810,1781
2020,West Bank,,2827979,1.034259691,952048,1770894,105037
2020,Western Sahara,,634738,0.984300363,219183,388807,26748
2020,Yemen,,29133661,1.02118579,10519092,17735439,879130
2020,Zambia,,16760067,0.997445878,7303547,9061622,394898
2020,Zimbabwe,,14078848,0.962539745,5106151,8314845,657852
2018,China,Anhui,"63,240,000",130.76,0.185883579,0.682100672,0.132015749
2018,China,Beijing,"21,542,000",114.58,0.106,0.782,0.112
2018,China,Chongqing,"31,018,000",115.8,0.169302801,0.685985206,0.144711992
2018,China,Fujian,"39,410,000",120.26,0.167197994,0.737936798,0.094865208
2018,China,Gansu,"26,370,000",119.35,0.175904506,0.710928102,0.113167392
2018,China,Guangdong,"113,460,000",137.76,0.169085397,0.748280014,0.082634589
2018,China,Guangxi,"49,260,000",128.8,0.218595891,0.681138949,0.10026516
2018,China,Guizhou,"36,000,000",105.37,0.222403093,0.664190999,0.113405908
2018,China,Hainan,"9,340,000",135.04,0.191800496,0.7260739,0.082125604
2018,China,Hebei,"75,560,000",118.46,0.184796304,0.688333926,0.12686977
2018,China,Heilongjiang,"37,730,000",107.52,0.105570995,0.772280747,0.122148258
2018,China,Henan,"96,050,000",130.3,0.213030161,0.676419375,0.110550465
2018,China,Hubei,"59,170,000",128.02,0.15350832,0.721561269,0.124930411
2018,China,Hunan,"68,990,000",126.92,0.213030161,0.676419375,0.110550465
2018,China,Jiangsu,"80,507,000",120.19,0.127657476,0.749799236,0.122543287
2018,China,Jiangxi,"46,480,000",138.01,0.202862395,0.699789916,0.097347689
2018,China,Jilin,"27,040,000",109.87,0.122897217,0.753393767,0.123709015
2018,China,Liaoning,"43,590,000",112.17,0.101499552,0.748741047,0.1497594
2018,China,Inner Mongolia,"25,340,000",108.48,0.132759118,0.768742181,0.098498701
2018,China,Ningxia,"6,880,000",107.99,0.200603051,0.709471444,0.089925505
2018,China,Qinghai,"6,030,000",103.52,0.195551062,0.728614762,0.075834176
2018,China,Shandong,"100,470,000",113.49,0.180103873,0.668272498,0.151623629
2018,China,Shanghai,"24,240,000",115.51,0.098354883,0.752125572,0.149519545
2018,China,Shanxi,"37,183,000",112.75,0.15593832,0.740813648,0.103248031
2018,China,Shaanxi,"38,640,000",125.15,0.143767951,0.744626456,0.111605593
2018,China,Sichuan,"83,410,000",116.37,0.16365738,0.686453822,0.149888798
2018,China,Tianjin,"15,600,000",112.97,0.102704393,0.788103799,0.109191809
2018,China,Xinjiang,"24,870,000",106.65,0.226257669,0.702184049,0.071558282
2018,China,Tibet,"3,440,000",97.43,0.235356763,0.707845225,0.056798012
2018,China,Yunnan,"48,300,000",110.57,0.180805376,0.723448868,0.095745756
2018,China,Zhejiang,"57,370,000",113.11,0.136943488,0.733193009,0.129863503
2019,Australia,New South Wales,"63,240,000",0.985784485,1499863,5270095,1319568
2019,Australia,Victoria,"21,542,000",0.981430783,1201923,4374283,1018598
2019,Australia,Queensland,"31,018,000",0.978003634,989916,3305197,799987
2019,Australia,South Australia,"39,410,000",0.976504584,308953,1114581,716871
2019,Australia,Western Australia,"26,370,000",0.997892127,511842,1721126,388712
2019,Australia,Tasmania,"113,460,000",0.979603028,94123,332793,107365
2019,Australia,Northern Territory,"49,260,000",1.068977414,52840,173368,388712
2019,Australia,Australian Capital Territory,"36,000,000",0.977711243,81390,289869,55450
2016,Canada,Alberta,4067175,1.005742776,779155,2787805,500215
2016,Canada,British Columbia,"4,648,055",0.98772995,691390,3107680,848985
2016,Canada,Manitoba,"1,278,365",0.975933969,243820,835580,198965
